lemma,poscode,surface
Incorporação da Cisplatina,3,Incorporação da Cisplatina
Revolução Pernambucana,3,Revolução Pernambucana
Revolução Liberal de 1821,3,Revolução Liberal de 1821
Independência da Bahia,3,Independência da Bahia
Guerra da independência do Brasil,3,Guerra da independência do Brasil
Confederação do Equador,3,Confederação do Equador
Guerra da Cisplatina,3,Guerra da Cisplatina
Revolta dos Mercenários,3,Revolta dos Mercenários
Noite das Garrafadas,3,Noite das Garrafadas
Cabanada,3,Cabanada
Federação do Guanais,3,Federação do Guanais
Revolta do Ano da Fumaça,3,Revolta do Ano da Fumaça
Revolta de Carrancas,3,Revolta de Carrancas
A Rusga,3,A Rusga
Cabanagem,3,Cabanagem
Revolta dos Malês,3,Revolta dos Malês
Revolução Farroupilha,3,Revolução Farroupilha
Sabinada,3,Sabinada
Balaiada,3,Balaiada
Revoltas Liberais,3,Revoltas Liberais
Revolta dos Lisos,3,Revolta dos Lisos
Motim do Fecha-Fecha,3,Motim do Fecha-Fecha
Motim do Mata-Mata,3,Motim do Mata-Mata
Insurreição Praieira,3,Insurreição Praieira
Guerra contra Oribe e Rosas,3,Guerra contra Oribe e Rosas
Revolta do Ronco de Abelha,3,Revolta do Ronco de Abelha
Levante dos Marimbondos,3,Levante dos Marimbondos
Revolta da Fazenda Ibicaba,3,Revolta da Fazenda Ibicaba
Motim da Carne sem Osso,3,Motim da Carne sem Osso
Guerra contra Aguirre,3,Guerra contra Aguirre
Guerra do Paraguai,3,Guerra do Paraguai
Revolta dos Muckers,3,Revolta dos Muckers
Revolta do Quebra-Quilos,3,Revolta do Quebra-Quilos
Guerra das Mulheres,3,Guerra das Mulheres
Revolta do Vintém,3,Revolta do Vintém
Revolta do Vintém,3,Revolta do Vintém
Golpe de 15 de novembro,3,Golpe de 15 de novembro
Revolução Federalista,3,Revolução Federalista
Revolta da Armada,3,Revolta da Armada
República de Cunani,3,República de Cunani
Guerra de Canudos,3,Guerra de Canudos
Revolução populares,3,Revolução populares
Revolução Acreana,3,Revolução Acreana
Revolta da Vacina,3,Revolta da Vacina
Revolta da Chibata,3,Revolta da Chibata
Guerra do Contestado,3,Guerra do Contestado
Sedição de Juazeiro,3,Sedição de Juazeiro
Levante Sertanejo,3,Levante Sertanejo
Revolta dos 18 do Forte,3,Revolta dos 18 do Forte
Coluna Prestes,3,Coluna Prestes
Revolta Paulista de 1924,3,Revolta Paulista de 1924
Revolução de 1930,3,Revolução de 1930
Revolta de Princesa,3,Revolta de Princesa
"Revolução de 1932, Revolução Constitucionalista de 1932",3,"Revolução de 1932, Revolução Constitucionalista de 1932"
Intentona Comunista,3,Intentona Comunista
Revolta Mineira de 1935,3,Revolta Mineira de 1935
Caldeirão de Santa Cruz do Deserto,3,Caldeirão de Santa Cruz do Deserto
Intentona Integralista,3,Intentona Integralista
Força Expedicionária Brasileira na Segunda Guerra Mundial,3,Força Expedicionária Brasileira na Segunda Guerra Mundial
Revolta das Barcas,3,Revolta das Barcas
Movimento militar de 1964,3,Movimento militar de 1964
Operação Power Pack,3,Operação Power Pack
Guerrilha do Araguaia,3,Guerrilha do Araguaia
Operação Traíra,3,Operação Traíra
Guerra de Canudos,3,Guerra de Canudos
Revolta dos Muckers,3,Revolta dos Muckers
Caldeirão de Santa Cruz do Deserto,3,Caldeirão de Santa Cruz do Deserto
Guerra do Contestado,3,Guerra do Contestado
Messianismo,3,Messianismo
Movimento de Pau de Colher,3,Movimento de Pau de Colher
Sebastianismo,3,Sebastianismo
Greve Geral de 1917,3,Greve Geral de 1917
Greve da Meia Passagem,3,Greve da Meia Passagem
Greves operárias,3,Greves operárias
Grito dos Excluídos,3,Grito dos Excluídos
Passeata dos Cem Mil,3,Passeata dos Cem Mil
Batalha da Maria Antônia,3,Batalha da Maria Antônia
Greve de 1988,3,Greve de 1988
Caras-pintadas,3,Caras-pintadas
Tumultos na CPTM em 1996,3,Tumultos na CPTM em 1996
Marcha dos 100 mil de Brasília em 1999,3,Marcha dos 100 mil de Brasília em 1999
Fora Collor,3,Fora Collor
Marcha dos 100 mil de Brasília em 1999,3,Marcha dos 100 mil de Brasília em 1999
Greve da FFLCH,3,Greve da FFLCH
Greves de 2007 em universidades públicas brasileiras,3,Greves de 2007 em universidades públicas brasileiras
Revolta da Catraca,3,Revolta da Catraca
Movimento Brasil Livre,3,Movimento Brasil Livre
Protestos no Brasil em 2013,3,Protestos no Brasil em 2013
Bom Senso F.C.,3,Bom Senso F.C.
Greve na PUC-SP contra a nomeação da reitora Anna Cintra,3,Greve na PUC-SP contra a nomeação da reitora Anna Cintra
Greve no ensino público federal do Brasil em 2012,3,Greve no ensino público federal do Brasil em 2012
Greve no ensino público federal do Brasil em 2015,3,Greve no ensino público federal do Brasil em 2015
Mobilização estudantil em São Paulo em 2015,3,Mobilização estudantil em São Paulo em 2015
Movimento Brasil Livre,3,Movimento Brasil Livre
Movimento Vem pra Rua,3,Movimento Vem pra Rua
Protestos antigovernamentais no Brasil em 2015-2016,3,Protestos antigovernamentais no Brasil em 2015-2016
Protestos no Brasil em 2013,3,Protestos no Brasil em 2013
Reintegração de posse na USP em 2011,3,Reintegração de posse na USP em 2011
Movimento Cívico pelo Direito dos Brasileiros,3,Movimento Cívico pelo Direito dos Brasileiros
Frente Integralista Brasileira,3,Frente Integralista Brasileira
Grito dos Excluídos,3,Grito dos Excluídos
Grupo Território Livre,3,Grupo Território Livre
Movimentos civis LGBT no Brasil,3,Movimentos civis LGBT no Brasil
Movimento de Luta pela Terra,3,Movimento de Luta pela Terra
Movimento dos Atingidos por Barragens,3,Movimento dos Atingidos por Barragens
Movimento Educacionista,3,Movimento Educacionista
Movimento eugênico brasileiro,3,Movimento eugênico brasileiro
Movimento Passe Livre,3,Movimento Passe Livre
MV-Brasil,3,MV-Brasil
Para Expressar a Liberdade (campanha),3,Para Expressar a Liberdade (campanha)
