lemma,poscode,surface
Plano de Recuperação Econômico-Rural da Lavoura Cacaueira (Ceplac),3,Plano de Recuperação Econômico-Rural da Lavoura Cacaueira (Ceplac)
Plano de Recuperação Setorial (PRS),3,Plano de Recuperação Setorial (PRS)
Plano de Recuperação da Estrada de Ferro do Piauí,3,Plano de Recuperação da Estrada de Ferro do Piauí
Plano de Recuperação do Setor de Energia Elétrica (PRS),3,Plano de Recuperação do Setor de Energia Elétrica (PRS)
Plano de Refinarias da Petrobras,3,Plano de Refinarias da Petrobras
Plano de Reforma Agrária,3,Plano de Reforma Agrária
Plano de Reorganização do Ministério da Educação e Saúde,3,Plano de Reorganização do Ministério da Educação e Saúde
Plano de Retenção,3,Plano de Retenção
Plano de Revitalização das Ferrovias,3,Plano de Revitalização das Ferrovias
Plano de Serviços e Investimentos Públicos,3,Plano de Serviços e Investimentos Públicos
Plano de Sindicalização Rural,3,Plano de Sindicalização Rural
Plano de Telecomunicações de Minas Gerais,3,Plano de Telecomunicações de Minas Gerais
Plano de Transformação do Sistema Eletrobrás,3,Plano de Transformação do Sistema Eletrobrás
Plano de Urbanização de Fortaleza,3,Plano de Urbanização de Fortaleza
Plano de Valorização,3,Plano de Valorização
Plano de Valorização Econômica da Amazônia,3,Plano de Valorização Econômica da Amazônia
Plano de Valorização Econômica da Amazônia (SPVEA),3,Plano de Valorização Econômica da Amazônia (SPVEA)
Plano de Valorização da Amazônia,3,Plano de Valorização da Amazônia
Plano de Valorização da Fronteira Sudoeste do País,3,Plano de Valorização da Fronteira Sudoeste do País
Plano de Viação Geral,3,Plano de Viação Geral
Plano de Viação Nacional,3,Plano de Viação Nacional
Plano de desenvolvimento integrado Alto Guaporé-Jauru,3,Plano de desenvolvimento integrado Alto Guaporé-Jauru
Plano de urbanização de Goiânia,3,Plano de urbanização de Goiânia
Plano diretor de desenvolvimento de Londrina,3,Plano diretor de desenvolvimento de Londrina
Plano do Carvão,3,Plano do Carvão
Plano do Carvão Nacional (Cepcan),3,Plano do Carvão Nacional (Cepcan)
Plano do Álcool,3,Plano do Álcool
