<OUTPUT SRCFILE="10955.raw">
** ** Fz 1 -
) ) Fpt 1 -
e e CC 0.999951 -
Prêmio_Municípios_mais_Dinâmicos_do_Brasil prêmio_municípios_mais_dinâmicos_do_brasil NP00O00 1 -
( ( Fpa 1 -
2008 2008 Z 1 -
) ) Fpt 1 -
. . Fp 1 -

    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
Entre entre SP 0.987856 -
as o DA0FP0 0.974798 -
ações ação NCFP000 1 00037396-n:0.000993056/00030358-n:0.000616753/01080366-n:0.000613004/14006945-n:0.000585332/01168369-n:0.000470047
empreendidas empreender VMP00PF 0.992518 01641914-v:0.00253161
por por SP 1 -
a o DA0FS0 1 -
Prefeitura_de_João_Pesssoa prefeitura_de_joão_pesssoa NP00O00 1 -
em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
gestão gestão NCFS000 1 01133281-n:0.00110208/01135952-n:0.000875294/01144876-n:0.000836499
de de SP 1 -
Ricardo_Coutinho ricardo_coutinho NP00SP0 1 -
, , Fc 1 -
destacam destacar VMIP3P0 1 -
se se PP3CN00 1 -
: : Fd 1 -
a o DA0FS0 0.675415 -
construção construção NCFS000 1 00911048-n:0.00107561/01104637-n:0.000847183/00912001-n:0.000819955
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Terminal_de_Integração_dos_Transportes_Urbanos terminal_de_integração_dos_transportes_urbanos NP00G00 1 -
, , Fc 1 -
em em SP 1 -
abril_de_2005 [??:??/4/2005:??.??:??] W 1 -
, , Fc 1 -
e e CC 0.999951 -
posterior posterior AQ0CS00 0.97619 00122626-a:0.000565461/00197576-a:0.000552158/00131426-a:0.000525352/00131692-a:0.000421083/00197891-a:0.000409309/00123485-a:0.000393791
integração integração NCFS000 1 01237415-n:0.000849245/01202415-n:0.000809582/00871418-n:0.00080935
temporal temporal AQ0CS00 0.567364 -
de de SP 1 -
