<OUTPUT SRCFILE="5103.raw">
** ** Fz 1 -
monopólios monopólio NCMP000 1 14444114-n:0.00337065/14444326-n:0.00332457
estatal estatal AQ0CS00 1 01862161-a:0.00583733
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
telecomunicações telecomunicação NCFP000 1 06271778-n:0.00647096
, , Fc 1 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
estados estado NCMP000 0.97619 00024720-n:0.00288448/13920835-n:0.00151544/13945919-n:0.00144298/13920429-n:0.00138821/14418395-n:0.00133674
em em SP 1 -
a o DA0FS0 1 -
distribuição distribuição NCFS000 1 01083077-n:0.00324147/01112885-n:0.0029999
de de SP 1 -
gás gás NCMS000 1 14877585-n:0.00284273/00839597-n:0.00203034/14481080-n:0.00200152
canalizado canalizar VMP00SM 0.992518 01931768-v:0.0021269/01933900-v:0.00134606/02021540-a:0.00133922/02336015-v:0.00123126/01444146-v:0.00121435
, , Fc 1 -
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
embarcações embarcação NCFP000 1 04194289-n:0.00472335/04530566-n:0.00359406
nacionais nacional AQ0CP00 0.991803 01105840-a:0.00233435/01567862-a:0.00197495/02988060-a:0.00191569/02988402-a:0.00183233/02988281-a:0.00177503/01861776-a:0.00172136/01038332-a:0.00169137
em em SP 1 -
a o DA0FS0 1 -
navegação navegação NCFS000 1 00314469-n:0.00410176/00815801-n:0.00184624/00313806-n:0.00175745/01105737-n:0.00163006
de de SP 1 -
cabotagem cabotagem NCFS000 1 00315307-n:0.00586569
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Petrobras petrobras NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
exploração exploração NCFS000 1 00945777-n:0.00110429/00310063-n:0.00110214/00948206-n:0.00110189/00418903-n:0.00107341/05785311-n:0.00103198/00643943-n:0.00102041
de de SP 1 -
petróleo petróleo NCMS000 1 14966667-n:0.00202168/14980579-n:0.0018304/14687633-n:0.00167534/14686352-n:0.00150518
. . Fp 1 -

