<OUTPUT SRCFILE="8891.raw">
** ** Fz 1 -
seus seu DP3MPS 0.857735 -
membros membro NCMP000 1 10307234-n:0.0010335/05559908-n:0.000932577/05560244-n:0.000892247/13810615-n:0.00084216
, , Fc 1 -
e e CC 0.999951 -
os o DA0MP0 0.958022 -
conflitos conflito NCMP000 1 00958896-n:0.0010215/13980845-n:0.000793495/00959376-n:0.000757584/01167710-n:0.000706159/04714679-n:0.000691855
de de SP 1 -
jurisdição jurisdição NCFS000 1 08590369-n:0.00174898/05198427-n:0.00143075/08677525-n:0.0011327
entre entre SP 0.987856 -
os o DA0MP0 0.958022 -
juízes juiz NCMP000 1 10225219-n:0.00101887/10372076-n:0.000895732/10514429-n:0.000716541/09769636-n:0.000665227/10735984-n:0.000633626/10526927-n:0.000604709
federais federal AQ0CP00 0.960748 01606214-a:0.000857688/01107206-a:0.000840498/02725829-a:0.000832814/01106129-a:0.000810395
ou ou CC 1 -
entre entre SP 0.987856 -
estes este PD0MP00 0.375776 -
e e CC 0.999951 -
os o DA0MP0 0.958022 -
juízes juiz NCMP000 1 10225219-n:0.00101887/10372076-n:0.000895732/10514429-n:0.000716541/09769636-n:0.000665227/10735984-n:0.000633626/10526927-n:0.000604709
estaduais estadual AQ0CP00 1 -
; ; Fx 1 -
proceder proceder VMN0000 0.325397 02372605-v:0.00359415
a o DA0FS0 0.675415 -
julgamentos julgamento NCMP000 1 01187810-n:0.00305281/01191158-n:0.0026805/01195867-n:0.00156679/00874067-n:0.000993314
em em SP 1 -
grau grau NCMS000 1 05093890-n:0.00156689/13939892-n:0.000737008/13611207-n:0.000630022/14429608-n:0.000624651/13714184-n:0.000621113/13584918-n:0.000559055
de de SP 1 -
recurso recurso NCMS000 0.914011 05154676-n:0.000564083/13331778-n:0.000531807/05154517-n:0.000455754/13332009-n:0.000449582/05154908-n:0.000433026/05155123-n:0.000430521/00177448-n:0.000429352/01208597-n:0.000416272/07246932-n:0.000370111
e e CC 0.999951 -
em em SP 1 -
última último AO0FS00 0.80805 01010271-a:0.00347712
instância instância NCFS000 1 07185325-n:0.00137116/06513366-n:0.00123269/14451349-n:0.00122806
em em SP 1 -
casos caso NCMP000 1 07308889-n:0.00365976
especiais especial AQ0CP00 1 01104026-a:0.000815543/01853228-a:0.000730701/02278011-a:0.000714552/00488187-a:0.000713517/01678729-a:0.000705785
; ; Fx 1 -
rever rever VMN0000 0.533333 00996102-v:0.00195451/02433549-v:0.00189082
processos processo NCMP000 1 01182654-n:0.00446566/01195867-n:0.00156679/01023820-n:0.000939853/01181902-n:0.000876991/01198307-n:0.000754974/01023636-n:0.000635763
criminais criminal AQ0CP00 0.960748 01322323-a:0.00353816
em em SP 1 -
que que CS 0.398036 -
houvesse haver VMSI3S0 0.649994 02616713-v:0.00380087
sentença sentença NCFS000 1 01187810-n:0.00305281/01191158-n:0.0026805
condenatória condenatório AQ0FS00 1 -
definitiva definitivo AQ0FS00 1 00700451-a:0.00179282/00550574-a:0.00172629
, , Fc 1 -
e e CC 0.999951 -
conceder conceder VMN0000 0.529581 02308741-v:0.000645053/02255268-v:0.000620963/02294436-v:0.000599113/02255462-v:0.000578103/00806049-v:0.000541938/02263692-v:0.000518636/02316649-v:0.000518618
ordem ordem NCFS000 0.991803 08049401-n:0.000833424/07168131-n:0.000441074/08227214-n:0.000299118/08233056-n:0.000264294/08436562-n:0.000228992/08231184-n:0.000226969/07168623-n:0.00022649/05726596-n:0.000224238/08240169-n:0.000206729/08229467-n:0.000200319/07170572-n:0.000199998/08075388-n:0.000197995/08234493-n:0.000196771/07939382-n:0.000195009/07169242-n:0.000190934/07169848-n:0.000185886/08456993-n:0.000183584/07170467-n:0.000183198/08242675-n:0.000183186/08106934-n:0.000169718
de de SP 1 -
* * Fz 1 -
habeas-corpus habeas-corpus NCMC000 1 -
* * Fz 1 -
. . Fp 1 -

A o DA0FS0 0.675415 -
Constituição_de constituição_de NP00O00 1 -
24_de_fevereiro_de_1891 [??:24/2/1891:??.??:??] W 1 -
confirmou confirmar VMIS3S0 1 00665886-v:0.00839017/02663340-v:0.00693044/01012073-v:0.00686887/00820352-v:0.00657009/02476518-v:0.00626701
a o DA0FS0 0.675415 -
composição composição NCFS000 1 04933544-n:0.0067457/05870180-n:0.00668149/00939452-n:0.00656864/03081660-n:0.00638548/05076472-n:0.00632774
e e CC 0.999951 -
a o DA0FS0 0.675415 -
competência competência NCFS000 1 05153520-n:0.0136457/05154114-n:0.0115917/05622456-n:0.0115845
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
STF stf NP00O00 1 -
. . Fp 1 -

Após após SP 1 -
a o DA0FS0 0.675415 -
Revolução revolução NCFS000 1 00962722-n:0.00760247/07424109-n:0.00752487
de de SP 1 -
1930 1930 Z 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
governo governo NCMS000 0.914011 08050678-n:0.00543751/01124794-n:0.00521583/00815173-n:0.00480448
provisório provisório AQ0MS00 1 00556318-a:0.015456
expediu expedir VMIS3S0 1 01950798-v:0.0155556
o o DA0MS0 0.950254 -
Decreto decreto NP00O00 1 06539770-n:0.0149332
nº nº NCMS000 1 -
19.656 19656 Z 1 -
, , Fc 1 -
datado datar VMP00SM 0.992512 00734927-v:0.0062561/00735389-v:0.00554377/00619183-v:0.00521424
de de SP 1 -
3_de_fevereiro_de_1931 [??:3/2/1931:??.??:??] W 1 -
, , Fc 1 -
reduzindo reduzir VMG0000 1 00441445-v:0.00319392/00429060-v:0.00184041/00241038-v:0.00169004/00045817-v:0.00160362/00245289-v:0.00159532/00441881-v:0.00154447/00267855-v:0.00153198/00439958-v:0.00151539/00233089-v:0.00151434/00236999-v:0.00150881
para para SP 0.999444 -
11 11 Z 1 -
o o DA0MS0 0.950254 -
número número NCMS000 1 13582013-n:0.00136214/13741022-n:0.00128264/05121418-n:0.00124797/05090441-n:0.00119376/06807198-n:0.00112713/05855125-n:0.00112125/05861067-n:0.00109638/05107765-n:0.00108959/13742358-n:0.00108789/06596978-n:0.00106939/06425065-n:0.00105555/06426111-n:0.00104966/00033615-n:0.00104403/06892016-n:0.000990686/06326526-n:0.000970223
de de SP 1 -
juízes juiz NCMP000 1 10225219-n:0.00374822/10372076-n:0.00374616/10514429-n:0.00291604/10735984-n:0.0026459/09769636-n:0.00258935/10526927-n:0.00246307
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
STF stf NP00O00 1 -
. . Fp 1 -

Até até SP 0.764262 -
1931 1931 Z 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
tribunal tribunal NCMS000 1 08329453-n:0.0214691/03649459-n:0.0177894
havia haver VMII3S0 0.533333 02616713-v:0.0356535
funcionado funcionar VMP00SM 1 01525666-v:0.0164979/01526290-v:0.00776304/02541251-v:0.00659957/01096497-v:0.00644832/01526139-v:0.00612621
em em SP 1 -
sessões sessão NCFP000 1 07145508-n:0.0170107/01232091-n:0.0166184
plenárias plenário AQ0FP00 1 00528167-a:0.0371174
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
ano ano NCMS000 1 15202634-n:0.00210361/15203565-n:0.00206268/15203791-n:0.00205443/15153787-n:0.00182699/15204297-n:0.00182408/15201505-n:0.00181471/08238660-n:0.0018085/15202806-n:0.00178744/15273626-n:0.00175136/15203229-n:0.00172473
, , Fc 1 -
