<OUTPUT SRCFILE="5139.raw">
aprovou aprovar VMIS3S0 1 00806502-v:0.00524904/02453889-v:0.00512593/00861725-v:0.00503328/00673983-v:0.00483708/02447793-v:0.00480196
uma um DI0FS0 0.903495 -
emenda emenda NCFS000 0.59448 01250101-n:0.0241215
que que PR0CN00 0.584265 -
prorrogou prorrogar VMIS3S0 1 -
todos todo DI0MP0 0.698087 -
os o DA0MP0 0.958022 -
mandatos mandato NCMP000 1 06556481-n:0.0061622/06552984-n:0.00598634/01140658-n:0.00581862/06530789-n:0.00562488
de de SP 1 -
prefeitos prefeito NCMP000 1 10303814-n:0.0142891/09880881-n:0.00826987/10304018-n:0.00808392
e e CC 0.999951 -
vereadores vereador NCMP000 1 09944763-n:0.0128583/09782397-n:0.0118394
até até SP 0.764262 -
1982 1982 Z 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.020941
de de SP 1 -
novembro_de_1982 [??:??/11/1982:??.??:??] W 1 -
, , Fc 1 -
reelegeu reeleger VMIS3S0 1 -
se se PP3CN00 1 -
vereador vereador NCMS000 1 09944763-n:0.0112466/09782397-n:0.0103527
de de SP 1 -
Jales jales NP00SP0 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0110396/06347588-n:0.0102389
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PMDB pmdb NP00O00 1 -
, , Fc 1 -
tomando tomar VMG0000 1 01170052-v:0.00426481/01171183-v:0.00385626/01156834-v:0.00329941/01202068-v:0.00320663/02205272-v:0.0030471/01172275-v:0.0030355/02248299-v:0.00272035
posse posse NCFS000 1 00032613-n:0.0104931/00809702-n:0.00996476
em em SP 1 -
fevereiro_de_1983 [??:??/2/1983:??.??:??] W 1 -
. . Fp 1 -

Deixou deixar VMIS3S0 1 00120316-v:0.00632549/00800930-v:0.00605588/00802318-v:0.00569394/02310007-v:0.00536734/00771490-v:0.0051653
em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mesmo mesmo PI0MS00 0.176901 -
ano ano NCMS000 1 15202634-n:0.00350385/15203565-n:0.00346831/15203791-n:0.0033119/15204297-n:0.00303958/15153787-n:0.00303778/15201505-n:0.00301949/08238660-n:0.00301672/15202806-n:0.00297756/15203229-n:0.00287315/15273626-n:0.0028418
a o DA0FS0 0.675415 -
diretoria diretoria NCFS000 1 08380768-n:0.0270408
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Instituto_de_Educação_Dona_Leonor_Mendes_de_Barros instituto_de_educação_dona_leonor_mendes_de_barros NP00O00 1 -
e e CC 0.999951 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00350385/15203565-n:0.00346831/15203791-n:0.0033119/15204297-n:0.00303958/15153787-n:0.00303778/15201505-n:0.00301949/08238660-n:0.00301672/15202806-n:0.00297756/15203229-n:0.00287315/15273626-n:0.0028418
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0136044/00127815-a:0.0135638
, , Fc 1 -
a o DA0FS0 0.675415 -
diretoria diretoria NCFS000 1 08380768-n:0.0270408
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
EEPSG eepsg NP00O00 1 -
. . Fp 1 -

Retornou retornar VMIS3S0 1 02004874-v:0.0297538/02004528-v:0.0230974
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
presidência presidência NCFS000 1 00596807-n:0.0205732/15266265-n:0.0205119
e e CC 0.999951 -
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
diretoria diretoria NCFS000 1 08380768-n:0.0406043
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Associação_Educacional_de_Jales associação_educacional_de_jales NP00O00 1 -
em em SP 1 -
1987 1987 Z 1 -
. . Fp 1 -

Logo logo RG 0.994911 00061203-r:0.012539
após após SP 1 -
a o DA0FS0 0.675415 -
promulgação promulgação NCFS000 1 06726158-n:0.00717342/06726939-n:0.00646204
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Constituição constituição NCFS000 1 04933544-n:0.00864408/06533648-n:0.00848537/00237078-n:0.00832981
em em SP 1 -
outubro_de_1988 [??:??/10/1988:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00155738/02051694-v:0.000863448/01955984-v:0.000812153/01995549-v:0.000794358/02072849-v:0.000775017/01904930-v:0.000751352/02009433-v:0.000730207/01957529-v:0.000714001/01935233-v:0.000704641/02102398-v:0.000684188/00341560-v:0.000673251/02102002-v:0.000636598/01882814-v:0.00063159/02058994-v:0.000630961/02685951-v:0.000629414/01846916-v:0.000623612/01849221-v:0.000619559/01841079-v:0.000593003/02686471-v:0.000575038/01839538-v:0.000561142/00343898-v:0.000555468
realizado realizar VMP00SM 0.983871 01617192-v:0.0020763/01640855-v:0.00174985/02526085-v:0.00166389/02561995-v:0.00153037/00486018-v:0.00149238/02671880-v:0.00148027/02560767-v:0.00144395/02244603-v:0.00133175/02226028-a:0.00129389
o o DA0MS0 0.950254 -
pleito pleito NCMS000 1 01182654-n:0.0129344
que que PR0CN00 0.584265 -
escolheu escolher VMIS3S0 1 00674607-v:0.00350689/02400760-v:0.00185356/00676450-v:0.0017747/00676864-v:0.00166694/00679239-v:0.00163829/00677683-v:0.001623/01710481-v:0.00159148/00677203-v:0.00149519
os o DA0MP0 0.958022 -
representantes representante NCCP000 0.986111 10522035-n:0.00257051/09774783-n:0.00218047/10638385-n:0.0020596/10000787-n:0.00199755/10052694-n:0.0018796/10002982-n:0.00170756/10486909-n:0.00169458
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
câmaras câmara NCFP000 0.5 02942699-n:0.00523383/04404997-n:0.00486657/03789171-n:0.0044354
municipais municipal AQ0CP00 0.738095 02697452-a:0.00777267/01038580-a:0.00615723
para para SP 0.999444 -
redigir redigir VMN0000 0.529581 00200397-v:0.0129413
as o DA0FP0 0.974798 -
constituições constituição NCFP000 1 04933544-n:0.00864408/06533648-n:0.00848537/00237078-n:0.00832981
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
municípios município NCMP000 1 08524735-n:0.00688175/08626283-n:0.00632185/08225581-n:0.00472318
. . Fp 1 -

Osvaldo_Soler osvaldo_soler NP00SP0 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
vereador vereador NCMS000 1 09944763-n:0.00900142/09782397-n:0.00828284
constituinte constituinte AQ0CS00 0.531381 00901345-a:0.0164339
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00883214/06347588-n:0.00819198
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PMDB pmdb NP00O00 1 -
, , Fc 1 -
tendo ter VMG0000 0.996894 00065639-v:0.00642982/00065370-v:0.00448635/02204692-v:0.00435519/02632167-v:0.00423883
presidido presidir VMP00SM 0.992511 02443609-v:0.0165433
os o DA0MP0 0.958022 -
trabalhos trabalho NCMP000 1 00575741-n:0.00279229/00584367-n:0.00218255/00582388-n:0.0020688/04602044-n:0.00180337/00576877-n:0.0017563/00796886-n:0.00172992/00581241-n:0.00172015/00621476-n:0.00169363/08137495-n:0.00163257/00576717-n:0.00159945
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Câmara_Municipal_Constituinte câmara_municipal_constituinte NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
1991 1991 Z 1 -
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
presidente presidente NCMS000 0.998938 10468559-n:0.00987007/10467395-n:0.00513743/10468962-n:0.0049655/10467179-n:0.00466147/10468750-n:0.00441439/10469346-n:0.00437146
e e CC 0.999951 -
