<OUTPUT SRCFILE="11650.raw">
** ** Fz 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00218221/02051694-v:0.00124529/01955984-v:0.00116051/01995549-v:0.00113712/02072849-v:0.00111565/01904930-v:0.00106077/02009433-v:0.00104661/01935233-v:0.00101551/01957529-v:0.00100549/02102398-v:0.000980926/00341560-v:0.000964817/02685951-v:0.000920331/01882814-v:0.000910309/02058994-v:0.000908312/01846916-v:0.000900471/02102002-v:0.000896008/01849221-v:0.000889811/01841079-v:0.000854668/02686471-v:0.000829061/01839538-v:0.000809578/00343898-v:0.000800672
recriado recriar VMP00SM 0.992518 01619354-v:0.0180768
sob sob SP 1 -
forma forma NCFS000 0.996448 00027807-n:0.00944024/04931733-n:0.00833739
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
USP_Leste usp_leste NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
2002 2002 Z 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00566532/10005934-n:0.00560186
federal federal AQ0CS00 1 01606214-a:0.00287169/01107206-a:0.00279725/02725829-a:0.00278196/01106129-a:0.00271596
por por SP 1 -
São_Paulo são_paulo NP00SP0 1 -
, , Fc 1 -
novamente novamente RG 0.5 00040365-r:0.00478023/00112843-r:0.00467093/00112601-r:0.00421379
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00631356/06347588-n:0.00585383
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PC_do_B._Assumiu pc_do_b._assumiu NP00G00 1 -
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.00308305/06552984-n:0.003008/01140658-n:0.00292179/06530789-n:0.00281249
em em SP 1 -
fevereiro_de_2003 [??:??/2/2003:??.??:??] W 1 -
e e CC 0.999951 -
fez fazer VMIS3S0 0.997449 00120316-v:0.00107416/02367363-v:0.000930621/01752884-v:0.000855629/01645601-v:0.00083895/02526085-v:0.00059149/00665476-v:0.000561043/00010435-v:0.000552095/01652139-v:0.000531092/01640207-v:0.000514705/01714208-v:0.000510114/01712704-v:0.000497995/01752495-v:0.000489025/01719921-v:0.000484996/01642924-v:0.000476261/01754737-v:0.000475816/01627355-v:0.000472435/01629000-v:0.000469492/01438902-v:0.000464275/01628197-v:0.000462225/02560767-v:0.000459965/01739814-v:0.000448071/01431987-v:0.000437086/01685313-v:0.000432826/02374764-v:0.000432297/01649024-v:0.000425357/00012267-v:0.000420582/02599636-v:0.000406859
parte parte NCFS000 0.969571 03892891-n:0.0011912/06392001-n:0.0011777/03081021-n:0.00111037/04164989-n:0.00107093/05868954-n:0.00105154/13809207-n:0.00103172/09385911-n:0.00101466/13086908-n:0.0010142/01085098-n:0.00101092/03390207-n:0.000994266/09428741-n:0.000936819/13286524-n:0.000935915
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
bancada bancada NCFS000 1 04600486-n:0.013103
de de SP 1 -
apoio apoio NCMS000 0.995495 01212519-n:0.0118874
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
presidente presidente NCMS000 0.998938 10467395-n:0.00244656/10468962-n:0.00240781/10467179-n:0.00222875/10469346-n:0.00213582/10468750-n:0.0021053/10468559-n:0.00203071
Luís_Inácio_Lula_da_Silva luís_inácio_lula_da_silva NP00SP0 1 -
. . Fp 1 -

Participou participar VMIS3S0 1 02450256-v:0.021639
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Frente_Parlamentar_de_Saúde frente_parlamentar_de_saúde NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
várias vários DI0FP0 0.882927 -
comissões comissão NCFP000 1 08324514-n:0.00454897/08402442-n:0.00410597/00773235-n:0.00397784/13320860-n:0.00388886/06478988-n:0.00385151
parlamentares parlamentar AQ0CP00 0.570698 02774411-a:0.00690677/00715830-a:0.00657489/00716056-a:0.0065048
de de SP 1 -
