<OUTPUT SRCFILE="1326.raw">
Antônio_Aureliano_Chaves_de_Mendonça antônio_aureliano_chaves_de_mendonça NP00SP0 1 -
curtos curto AQ0MP00 1 01442186-a:0.0111495/01436003-a:0.0095754/00547641-a:0.0085025/01442826-a:0.00809021
períodos período NCMP000 1 15113229-n:0.00508491/15248564-n:0.00302445/15247518-n:0.00296155/15254028-n:0.00276779/15144371-n:0.00276512/15122231-n:0.00264735/15248020-n:0.00262798/15290337-n:0.00257934/15248269-n:0.0025124/15236475-n:0.00249472/15249236-n:0.00242207/15224486-n:0.00241598/15120346-n:0.002303/15134490-n:0.00224462
em em SP 1 -
1959 1959 Z 1 -
, , Fc 1 -
1960 1960 Z 1 -
e e CC 0.999951 -
1961 1961 Z 1 -
. . Fp 1 -

Em em SP 1 -
junho_de_1962 [??:??/6/1962:??.??:??] W 1 -
, , Fc 1 -
por por SP 1 -
indicação indicação NCFS000 1 06797169-n:0.00481927/06643408-n:0.0026323/06651577-n:0.00250036/06798472-n:0.00222913
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
governador governador NCMS000 0.980769 10140314-n:0.00493194/10541229-n:0.00485093
de de SP 1 -
Minas minas NP00G00 1 03768346-n:0.00996865
, , Fc 1 -
José_de_Magalhães_Pinto josé_de_magalhães_pinto NP00SP0 1 -
, , Fc 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.00316573/00524682-v:0.00314823/02381726-v:0.00314136
a o DA0FS0 0.675415 -
direção direção NCFS000 1 01144876-n:0.00923636
técnica técnico AQ0FS00 0.493976 02809220-a:0.00321545/01108716-a:0.00290647/02809692-a:0.00287925
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
Centrais_Elétricas_Brasileiras centrais_elétricas_brasileiras NP00O00 1 -
( ( Fpa 1 -
Eletrobrás eletrobrás NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
integrando integrar VMG0000 0.930126 00466651-v:0.00329951/00642980-v:0.00310618/00467451-v:0.00302352
assim assim RG 0.998008 00121002-r:0.0089969
a o DA0FS0 0.675415 -
primeira primeiro AO0FS00 0.963287 01012990-a:0.00853723
diretoria diretoria NCFS000 1 08380768-n:0.00903264
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
empresa empresa NCFS000 0.994778 08056231-n:0.00946337
* * Fz 1 -
holding holding NCMS000 1 08185369-n:0.00912329
* * Fz 1 -
federal federal AQ0CS00 1 01606214-a:0.00223333/01107206-a:0.00217797/02725829-a:0.00216584/01106129-a:0.00211267
de de SP 1 -
energia energia NCFS000 1 05035961-n:0.00148768/14050143-n:0.00144875/11452218-n:0.0013815/04836683-n:0.00133935/04634833-n:0.0013049/11452079-n:0.00125641/04633197-n:0.0012554
elétrica elétrico AQ0FS00 0.561493 02826877-a:0.00316467/02826701-a:0.00302544/00921631-a:0.00283939
. . Fp 1 -

De de SP 1 -
volta volta NCFS000 0.992095 00051192-n:0.00366888/07447022-n:0.00352791
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Assembléia assembléia NP00O00 1 08163792-n:0.00400653/01229938-n:0.00398515
mineira mineiro AQ0FS00 0.24904 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
vaga vaga NCFS000 0.698655 13910116-n:0.00812628
de de SP 1 -
Gil_Vilela gil_vilela NP00SP0 1 -
, , Fc 1 -
em em SP 1 -
outubro_de_1962 [??:??/10/1962:??.??:??] W 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00115628/02051694-v:0.000512207/01955984-v:0.000485843/01995549-v:0.000476612/02072849-v:0.000464073/02009433-v:0.000462001/01904930-v:0.000461895/01957529-v:0.000422295/01935233-v:0.000417874/02102398-v:0.000406521/00341560-v:0.000397499/02058994-v:0.000377028/01882814-v:0.000376206/02685951-v:0.0003751/01846916-v:0.000371394/02102002-v:0.000371368/01849221-v:0.000370101/01841079-v:0.00035242/02686471-v:0.000340088/01839538-v:0.000332737/00343898-v:0.000326532
eleito eleito AQ0MS00 0.5 00846052-a:0.0044115/01294857-a:0.00376288
deputado deputado NCMS000 0.993827 09830400-n:0.00361012/10005934-n:0.00359258
estadual estadual AQ0CS00 1 -
por por SP 1 -
Minas minas NP00SP0 1 03768346-n:0.00816414
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00401609/06347588-n:0.00372585
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
UDN udn NP00O00 1 -
, , Fc 1 -
com com SP 1 -
o o DA0MS0 0.950254 -
apoio apoio NCMS000 0.995495 01212519-n:0.00756372
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
deputado deputado NCMS000 0.993827 09830400-n:0.00361012/10005934-n:0.00359258
federal federal AQ0CS00 1 01606214-a:0.00182786/01107206-a:0.00178149/02725829-a:0.0017714/01106129-a:0.00172843
Olavo_Bilac_Pinto olavo_bilac_pinto NP00SP0 1 -
, , Fc 1 -
integrante integrante AQ0CS00 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
linha linha NCFS000 1 -
ortodoxa ortodoxo AQ0FS00 0.398144 01689880-a:0.00779039
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
partido partido NCMS000 0.98773 -
que que PR0CN00 0.584265 -
ficou ficar VMIS3S0 1 00117985-v:0.00122148/02731024-v:0.000948891/01857392-v:0.000820006/00149583-v:0.000820004/02744820-v:0.000811411/02731242-v:0.000810852/02639075-v:0.000807453/00241038-v:0.000804816/02727462-v:0.000765732/02637592-v:0.000711091
conhecida conhecer VMP00SF 0.962264 00594621-v:0.00265138/02596113-v:0.00249629/00965894-a:0.00231623
como como CS 0.751351 -
a o DA0FS0 0.675415 -
“ “ Fra 1 -
Banda_de_Música banda_de_música NP00V00 1 -
” ” Frc 1 -
. . Fp 1 -

De de SP 1 -
esse esse DD0MS0 1 -
grupo grupo NCMS000 0.997738 07951464-n:0.00387295/00031264-n:0.00264297/07996689-n:0.00213638/07997703-n:0.00196235/07961480-n:0.00194519/08400452-n:0.00189428/07965085-n:0.00188373/07961016-n:0.00188146/06016853-n:0.00187349/08240169-n:0.00183329/07954731-n:0.00182496/08400772-n:0.00170839/07954014-n:0.00167286
participavam participar VMII3P0 1 02450256-v:0.024726
, , Fc 1 -
entre entre SP 0.987856 -
outros outro PI0MP00 0.419614 -
, , Fc 1 -
Mílton_Campos mílton_campos NP00SP0 1 -
, , Fc 1 -
Pedro_Aleixo pedro_aleixo NP00SP0 1 -
, , Fc 1 -
