<OUTPUT SRCFILE="1032.raw">
Antônio_Mendes_Canale antônio_mendes_canale NP00SP0 1 -
destinado destinar VMP00SM 0.986111 00709379-v:0.00375826/01682822-a:0.0037011/00340626-a:0.00351818
a a SP 0.313151 -
controlar controlar VMN0000 0.32973 01224744-v:0.00397661/02443049-v:0.00396798/02163301-v:0.00373365
as o DA0FP0 0.974798 -
cheias cheia NCFP000 0.632636 -
periódicas periódico AQ0FP00 1 01967240-a:0.00674511/00594004-a:0.00533739
. . Fp 1 -

Construiu construir VMIS3S0 1 01617192-v:0.00556155/01621555-v:0.00460963/01661243-v:0.00349743/00665476-v:0.00338386/01653013-v:0.00332339/01625343-v:0.00319813/01655505-v:0.00308807
também também RG 0.998533 00047534-r:0.0234237
a o DA0FS0 0.675415 -
sede sede NCFS000 0.974194 14039534-n:0.00858676/14040660-n:0.00819277/04945254-n:0.00764703
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
prefeitura prefeitura NCFS000 1 03036022-n:0.0227372
e e CC 0.999951 -
ampliou ampliar VMIS3S0 1 00153263-v:0.0132015/00540235-v:0.012185
a o DA0FS0 0.675415 -
rede rede NCFS000 0.981707 03309808-n:0.00465557/03819595-n:0.00379995/03820728-n:0.0034186/03085333-n:0.00321818/04474466-n:0.00320196/08434259-n:0.00311643/04568713-n:0.00281411/03475961-n:0.00279613
de de SP 1 -
esgotos esgoto NCMP000 1 14856893-n:0.0242634
. . Fp 1 -

Com com SP 1 -
a o DA0FS0 0.675415 -
extinção extinção NCFS000 1 13963032-n:0.00174497/07332691-n:0.00166135/14012173-n:0.00159039/05758692-n:0.00152536/00229934-n:0.00147968/13478342-n:0.00143753
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
partidos partido NCMP000 0.98374 -
políticos político AQ0MP00 0.861842 02857407-a:0.00890697/02857587-a:0.00868101
por por SP 1 -
o o DA0MS0 1 -
Ato_Institucional ato_institucional NP00O00 1 -
nº nº NCMS000 1 -
2 2 Z 1 -
( ( Fpa 1 -
27/10/1965 [??:27/10/1965:??.??:??] W 1 -
) ) Fpt 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
posterior posterior AQ0CS00 0.97619 00122626-a:0.00207025/00197576-a:0.00204896/00131426-a:0.00197591/00131692-a:0.00158613/00197891-a:0.00154113/00123485-a:0.0014827
instauração instauração NCFS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
bipartidarismo bipartidarismo NCMS000 1 -
, , Fc 1 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
