<OUTPUT SRCFILE="8871.raw">
** ** Fz 1 -
SERVIÇO_NACIONAL_DE_APRENDIZAGEM_INDUSTRIAL serviço_nacional_de_aprendizagem_industrial NP00V00 1 -
instituições instituição NCFP000 1 08053576-n:0.00191662/03574555-n:0.00180477/00240184-n:0.00178627/08407330-n:0.00162863
, , Fc 1 -
quanto quanto RG 0.667431 -
para para SP 0.999444 -
auxiliar auxiliar VMN0000 0.214815 02414710-v:0.00406337/02549211-v:0.0036771
em em SP 1 -
a o DA0FS0 1 -
implantação implantação NCFS000 1 03563710-n:0.00712504
de de SP 1 -
métodos método NCMP000 1 05660268-n:0.00720078
. . Fp 1 -

    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
A_partir_de a_partir_de SP 1 -
1937 1937 Z 1 -
o o DA0MS0 0.950254 -
centro centro NCMS000 0.992958 08521816-n:0.00839112/08524262-n:0.00742161/06214379-n:0.00655293
estendeu estender VMIS3S0 1 00154778-v:0.00543616/00027268-v:0.00540746/00540235-v:0.00533191/00303661-v:0.00501014
a o DA0FS0 0.675415 -
sua seu DP3FSS 0.929764 -
ação ação NCFS000 1 00037396-n:0.00512181/14006945-n:0.00447457/00030358-n:0.00431288/01080366-n:0.00423772/01168369-n:0.00393441
a a SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
ferrovias ferrovia NCFP000 1 04048075-n:0.0215401
situadas situar VMP00PF 0.992518 02694933-v:0.00651253/01088923-v:0.00422369/01987160-v:0.0041532/01575675-v:0.00409817/02126430-a:0.00402259
fora fora RG 0.488858 00029037-r:0.0200693
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
território território NCMS000 1 08552138-n:0.00779027/08497294-n:0.00746228/08493064-n:0.00708374
paulista paulista NCCS000 1 08853741-n:0.0217574
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00184628/02051694-v:0.00101235/01955984-v:0.000973783/01995549-v:0.000933912/02072849-v:0.000919628/01904930-v:0.000880011/02009433-v:0.000860673/00341560-v:0.000848741/01935233-v:0.000833287/01957529-v:0.000826842/02102398-v:0.000805981/02685951-v:0.000752387/01882814-v:0.000748659/02058994-v:0.000746362/01849221-v:0.000744354/01846916-v:0.000736089/02102002-v:0.000732992/01841079-v:0.000700717/00343898-v:0.000697856/02686471-v:0.000680538/01839538-v:0.000663829
o o PD0MS00 0.0313531 -
que que PR0CN00 0.584265 -
ocorreu ocorrer VMIS3S0 1 00339934-v:0.00964722/00344643-v:0.007682
com com SP 1 -
antigas antigo AQ0FP00 1 00669138-a:0.0140193
escolas escola NCFP000 1 08276720-n:0.00284392/08278324-n:0.00217735/04146050-n:0.00203931/08277805-n:0.00197087/08278169-n:0.00196955/08412749-n:0.00194983/08275185-n:0.0018985/08277393-n:0.00188533
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Central_do_Brasil central_do_brasil NP00O00 1 -
e e CC 0.999951 -
, , Fc 1 -
posteriormente posterior RG 1 -
, , Fc 1 -
com com SP 1 -
outras outro DI0FP0 0.649254 -
ferrovias ferrovia NCFP000 1 04048075-n:0.0156689
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
centro centro NCMS000 0.992958 08521816-n:0.00609728/08524262-n:0.00539801/06214379-n:0.00476698
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
norte norte NCMS000 0.847222 13831176-n:0.00503486/13831441-n:0.00466009/08562990-n:0.00410894/09052652-n:0.00379796
e e CC 0.999951 -
em em SP 1 -
o o DA0MS0 1 -
sul sul NCMS000 1 13833375-n:0.00804284/08563085-n:0.00686257
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
país país NCMS000 1 08654360-n:0.00416834/08552138-n:0.00406954/08544813-n:0.00405322/08168978-n:0.00403992
. . Fp 1 -

Em em SP 1 -
1972 1972 Z 1 -
existiam existir VMII3P0 1 02603699-v:0.0126454/02653381-v:0.0106553
em em SP 1 -
todo todo DI0MS0 0.724605 -
o o DA0MS0 0.950254 -
território território NCMS000 1 08552138-n:0.00766247/08497294-n:0.00742184/08493064-n:0.00706364
nacional nacional AQ0CS00 0.966867 01105840-a:0.00365004/01567862-a:0.00320012/02988060-a:0.00310242/02988402-a:0.00297622/02988281-a:0.00288138/01861776-a:0.00277963/01038332-a:0.002748
, , Fc 1 -
25 25 Z 1 -
escolas escola NCFP000 1 08276720-n:0.00383794/08278324-n:0.00299392/04146050-n:0.00279378/08278169-n:0.00271041/08277805-n:0.0027085/08412749-n:0.00267927/08275185-n:0.00260585/08277393-n:0.00259186
ferroviárias ferroviário AQ0FP00 0.547404 -
articuladas articular VMP00PF 0.992518 00978369-v:0.010676/00153410-a:0.0101874
com com SP 1 -
as o DA0FP0 0.974798 -
oficinas oficina NCFP000 1 04602044-n:0.0117534/04603081-n:0.0115542
ferroviárias ferroviário AQ0FP00 0.547404 -
de de SP 1 -
manutenção manutenção NCFS000 1 13365286-n:0.0122268/13366311-n:0.00989726
. . Fp 1 -

Em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
