<OUTPUT SRCFILE="11408.raw">
** ** Fz 1 -
constitucionais constitucional AQ0CP00 0.667364 00901345-a:0.00502057/00179925-a:0.00502007/02702332-a:0.00475815
propostas proposta NCFP000 0.454918 07162194-n:0.00860028/07162680-n:0.00830864
por por SP 1 -
o o DA0MS0 1 -
presidente presidente NCMS000 0.998938 10467395-n:0.00315911/10468962-n:0.00306078/10467179-n:0.00284897/10469346-n:0.00272541/10468750-n:0.00267268/10468559-n:0.00258937
Luís_Inácio_Lula_da_Silva luís_inácio_lula_da_silva NP00SP0 1 -
em em SP 1 -
2003 2003 Z 1 -
, , Fc 1 -
votou votar VMIS3S0 1 02461314-v:0.00702952/02400637-v:0.00490977/02462201-v:0.00478967
contra contra SP 0.996248 -
a o DA0FS0 0.675415 -
emenda emenda NCFS000 0.59448 01250101-n:0.0154042
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
previdência previdência NCFS000 1 14494893-n:0.0151565
e e CC 0.999951 -
a o DA0FS0 0.675415 -
favor favor NCMS000 1 01226941-n:0.00791026/05156319-n:0.00749673
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
emenda emenda NCFS000 0.59448 01250101-n:0.0154042
de de SP 1 -
reforma reforma NCFS000 0.968254 00260622-n:0.0156438/00800940-n:0.0150956
tributária tributário AQ0FS00 0.538829 02847894-a:0.00790714/01855348-a:0.00694106
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0336634
de de SP 1 -
outubro_de_2006 [??:??/10/2006:??.??:??] W 1 -
, , Fc 1 -
disputou disputar VMIS3S0 1 00775156-v:0.0344243
a o DA0FS0 0.675415 -
reeleição reeleição NCFS000 1 00181373-n:0.0330829
e e CC 0.999951 -
obteve obter VMIS3S0 1 02210855-v:0.00360506/02238085-v:0.00330875/02526085-v:0.00306925/02288295-v:0.00269413/02207206-v:0.0026916/02289295-v:0.00262194/02238770-v:0.00258319/02239261-v:0.00250592/02290461-v:0.00244742/00522751-v:0.00244423/02236124-v:0.00244138/00597915-v:0.00240332/02359340-v:0.00233323/02527431-v:0.00233006
uma um DI0FS0 0.903495 -
suplência suplência NCFS000 1 -
. . Fp 1 -

Deixou deixar VMIS3S0 1 00120316-v:0.00749504/00800930-v:0.00726606/00802318-v:0.0068274/02310007-v:0.00644017/00771490-v:0.00619785
a o DA0FS0 0.675415 -
Câmara_dos_Deputados câmara_dos_deputados NP00O00 1 -
em em SP 1 -
janeiro [??:??/1/??:??.??:??] W 1 -
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0163252/00127815-a:0.0162764
, , Fc 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
final final NCFS000 0.422733 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
legislatura legislatura NCFS000 1 15291498-n:0.0351004
. . Fp 1 -

    Fz 1 -
    Fz 1 -

</OUTPUT>
