<OUTPUT SRCFILE="11496.raw">
votou votar VMIS3S0 1 02461314-v:0.00635888/02400637-v:0.00294818/02462201-v:0.00279896
contra contra SP 0.996248 -
a o DA0FS0 0.675415 -
reforma reforma NCFS000 0.968254 00260622-n:0.00456851/00800940-n:0.00433699
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Previdência previdência NP00O00 1 14494893-n:0.00877629
e e CC 0.999951 -
esteve estar VMIS3S0 0.982759 02604760-v:0.00225137/02655135-v:0.00151027/00149583-v:0.00135192/01857392-v:0.00131295/02734338-v:0.00128335/02729963-v:0.00125053/00065495-v:0.00117308
ausente ausente AQ0CS00 0.688878 01847672-a:0.0046462/00165171-a:0.00453196
em em SP 1 -
a o DA0FS0 1 -
votação votação NCFS000 1 00183505-n:0.00948425/00182213-n:0.00885297
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
reforma reforma NCFS000 0.968254 00260622-n:0.00456851/00800940-n:0.00433699
tributária tributário AQ0FS00 0.538829 02847894-a:0.00457931/01855348-a:0.00401901
. . Fp 1 -

Entre entre SP 0.987856 -
maio_de_2005 [??:??/5/2005:??.??:??] W 1 -
e e CC 0.999951 -
abril_de_2006 [??:??/4/2006:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.0038386/02051694-v:0.00224072/01955984-v:0.00207443/01995549-v:0.00201746/02072849-v:0.00200695/02009433-v:0.00187271/01904930-v:0.00185368/01935233-v:0.00182436/01957529-v:0.00179388/02102398-v:0.00176026/00341560-v:0.00173291/01882814-v:0.00163531/02058994-v:0.00162933/02685951-v:0.00161844/01846916-v:0.00161431/02102002-v:0.00160527/01849221-v:0.00159533/01841079-v:0.00153595/02686471-v:0.00149129/01839538-v:0.00145578/00343898-v:0.00143409
vice vice AQ0CN00 1 -
líder líder NCCS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PFL pfl NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
Câmara_dos_Deputados câmara_dos_deputados NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
as o DA0FP0 1 -
eleições eleição NCFP000 1 00181781-n:0.00594771/05790944-n:0.00579244/00183505-n:0.0053988/00180962-n:0.00517178
de de SP 1 -
outubro_de_2006 [??:??/10/2006:??.??:??] W 1 -
, , Fc 1 -
