<OUTPUT SRCFILE="11270.raw">
** ** Fz 1 -
Partido_Social_Liberal partido_social_liberal NP00O00 1 -
( ( Fpa 1 -
PSL psl NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
Partido_Social_Trabalhista partido_social_trabalhista NP00O00 1 -
( ( Fpa 1 -
PST pst NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
Partido_dos_Aposentados_da_Nação partido_dos_aposentados_da_nação NP00O00 1 -
( ( Fpa 1 -
PAN pan NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
Partido_Social_Democrata_Cristão partido_social_democrata_cristão NP00O00 1 -
( ( Fpa 1 -
PSDC psdc NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
Partido_Renovador_Trabalhista_Brasileiro partido_renovador_trabalhista_brasileiro NP00O00 1 -
( ( Fpa 1 -
PRTB prtb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
Partido_Trabalhista_Cristão partido_trabalhista_cristão NP00O00 1 -
( ( Fpa 1 -
PTC ptc NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
Partido_Social_Democrático partido_social_democrático NP00O00 1 -
( ( Fpa 1 -
PSD psd NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
Partido partido NCMS000 0.98773 -
republicano republicano AQ0MS00 0.585546 02788378-a:0.0024573/00716892-a:0.00229908
Progressista progressista NP00O00 1 -
( ( Fpa 1 -
PRP prp NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
Partido partido NP00O00 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Social_Democracia_Brasileira social_democracia_brasileira NP00O00 1 -
( ( Fpa 1 -
PSDB psdb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
Partido_da_Reedificação_da_Ordem_Nacional partido_da_reedificação_da_ordem_nacional NP00O00 1 -
( ( Fpa 1 -
PRONA prona NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
Partido_Trabalhista_do_Brasil partido_trabalhista_do_brasil NP00O00 1 -
( ( Fpa 1 -
PT_do_B pt_do_b NP00V00 1 -
) ) Fpt 1 -
. . Fp 1 -

    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
Em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0186273
de de SP 1 -
2006 2006 Z 1 -
, , Fc 1 -
