<OUTPUT SRCFILE="11028.raw">
** ** Fz 1 -
maior maior AQ0CS00 0.979323 01395330-a:0.00860934/01471002-a:0.00856251/01511520-a:0.00821597/01383756-a:0.00750279
votação votação NCFS000 1 00183505-n:0.0173889/00182213-n:0.0163793
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Espírito_Santo espírito_santo NP00SP0 1 -
. . Fp 1 -

Em em SP 1 -
1999 1999 Z 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00165158/02051694-v:0.00093442/01955984-v:0.000873229/01995549-v:0.00084932/02072849-v:0.000837475/01904930-v:0.000797765/02009433-v:0.000785929/01935233-v:0.000761997/01957529-v:0.000760776/02102398-v:0.000736883/00341560-v:0.000723448/01882814-v:0.00068331/02058994-v:0.000681574/02685951-v:0.000679556/01846916-v:0.000674365/02102002-v:0.000672633/01849221-v:0.00066776/01841079-v:0.000641409/02686471-v:0.000622104/01839538-v:0.000607468/00343898-v:0.000597935
nomeado nomear VMP00SM 0.97619 02475922-v:0.0026187/02396205-v:0.0025702/02396716-v:0.00246926/01028748-v:0.00245567/02400760-v:0.00238015/02401523-v:0.00233879
vice vice AQ0CN00 1 -
líder líder NCCS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PSDB psdb NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
Câmara câmara NP00O00 1 02942699-n:0.00566482/04404997-n:0.00527204/03789171-n:0.00480218
, , Fc 1 -
e e CC 0.999951 -
representou representar VMIS3S0 1 01719302-v:0.00134793/00836236-v:0.0012255/01686132-v:0.00116545/02723733-v:0.00113802/00988028-v:0.00113567/01719921-v:0.00110316/02697725-v:0.0010919/02620587-v:0.00108346/02541509-v:0.00105625/02698443-v:0.00102769/02541921-v:0.00102471/02581675-v:0.00101391/02740352-v:0.00100051/01723690-v:0.00100026
a o DA0FS0 0.675415 -
Câmara_dos_Deputados câmara_dos_deputados NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
III_Conferência_Ministerial_da_Organização_Mundial_de_Comércio iii_conferência_ministerial_da_organização_mundial_de_comércio NP00O00 1 -
( ( Fpa 1 -
OMC omc NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
Seattle seattle NP00G00 1 -
, , Fc 1 -
em em SP 1 -
os o DA0MP0 1 -
