<OUTPUT SRCFILE="11474.raw">
ano ano NCMS000 1 15202634-n:0.00140553/15203565-n:0.00137754/15203791-n:0.0013561/15153787-n:0.0012223/15204297-n:0.00121575/15201505-n:0.00121102/08238660-n:0.0012103/15202806-n:0.00119322/15203229-n:0.00115077/15273626-n:0.00114036
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00544306/00127815-a:0.00542712
, , Fc 1 -
disputou disputar VMIS3S0 1 00775156-v:0.0114628
por por SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0058984/06347588-n:0.00546302
pemedebista pemedebista AQ0CS00 0.26082 -
seu seu DP3MSS 0.957305 -
primeiro primeiro AO0MS00 0.722944 01012990-a:0.0102501
mandato mandato NCMS000 0.98913 06556481-n:0.00287648/06552984-n:0.00280462/01140658-n:0.00272353/06530789-n:0.00262338
de de SP 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.0052868/10005934-n:0.00522595
federal federal AQ0CS00 1 01606214-a:0.00268015/01107206-a:0.00260994/02725829-a:0.00259589/01106129-a:0.0025375
, , Fc 1 -
elegendo eleger VMG0000 1 -
se se PP3CN00 1 -
com com SP 1 -
a o DA0FS0 0.675415 -
expressiva expressivo AQ0FS00 1 00720296-a:0.00395501/00150505-a:0.00378072/00497148-a:0.00354469
votação votação NCFS000 1 00183505-n:0.00580431/00182213-n:0.00546992
de de SP 1 -
99.941 99941 Z 1 -
votos voto NCMP000 0.987805 -
, , Fc 1 -
a o DA0FS0 0.675415 -
maior maior AQ0CS00 0.979323 01395330-a:0.00287782/01471002-a:0.00286556/01511520-a:0.00275247/01383756-a:0.00250112
entre entre SP 0.987856 -
os o DA0MP0 0.958022 -
eleitos eleito NCMP000 0.632624 -
. . Fp 1 -

Em em SP 1 -
janeiro_de_2003 [??:??/1/2003:??.??:??] W 1 -
, , Fc 1 -
encerrou encerrar VMIS3S0 1 00352826-v:0.00670202/02609764-v:0.00660147/00484166-v:0.00659365
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.0047884/06552984-n:0.00465971/01140658-n:0.00452279/06530789-n:0.00436898
de de SP 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00882186/10005934-n:0.00870746
estadual estadual AQ0CS00 1 -
, , Fc 1 -
ocupando ocupar VMG0000 1 00600370-v:0.0067129/01126360-v:0.00607544/02649042-v:0.00594787
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
mês mês NCMS000 1 15206296-n:0.00804449/15209413-n:0.00778886/15207872-n:0.00647896
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00906972/00127815-a:0.00904269
, , Fc 1 -
sua seu DP3FSS 0.929764 -
cadeira cadeira NCFS000 1 04161981-n:0.0051205/04161358-n:0.00493377/04326896-n:0.00434763/03001627-n:0.00421842/08647616-n:0.00399308
em em SP 1 -
a o DA0FS0 1 -
Câmara_dos_Deputados câmara_dos_deputados NP00O00 1 -
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0234175
em em SP 1 -
2003 2003 Z 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.00809603/00524682-v:0.00806111/02381726-v:0.00799565
a o DA0FS0 0.675415 -
vice vice AQ0CN00 1 -
liderança liderança NCFS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
partido partido NCMS000 0.98773 -
, , Fc 1 -
tornando tornar VMG0000 1 -
se se PP3CN00 1 -
líder líder NCCS000 0.996454 09623038-n:0.0244024
em em SP 1 -
2005 2005 Z 1 -
. . Fp 1 -

    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
A a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
longo longo NCMS000 0.630208 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
legislatura legislatura NCFS000 1 15291498-n:0.00767182
de de SP 1 -
2003-2007 2003-2007 Z 1 -
, , Fc 1 -
integrou integrar VMIS3S0 1 00466651-v:0.00263561/00642980-v:0.00243279/00467451-v:0.00236764
diversas diverso AQ0FP00 1 02507772-a:0.00257494/02067491-a:0.00248371/02067719-a:0.00239137
comissões comissão NCFP000 1 08324514-n:0.00163638/08402442-n:0.00143582/00773235-n:0.0013853/13320860-n:0.00135535/06478988-n:0.00134728
permanentes permanente AQ0CP00 0.517364 01754421-a:0.00369539/01759527-a:0.00338832
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Câmara_dos_Deputados_—_Agricultura câmara_dos_deputados_—_agricultura NP00O00 1 -
, , Fc 1 -
Pecuária pecuária NP00SP0 1 00917211-n:0.00392653/00920062-n:0.00351387
, , Fc 1 -
Abastecimento abastecimento NP00O00 1 01057200-n:0.00747811
e e CC 0.999951 -
Desenvolvimento_Rural desenvolvimento_rural NP00O00 1 -
( ( Fpa 1 -
suplente suplente AQ0CS00 0.624504 -
) ) Fpt 1 -
; ; Fx 1 -
Ciência ciência NCFS000 1 05999797-n:0.00173019/05999540-n:0.00147736/05985999-n:0.00147346/05636887-n:0.00146786/06000400-n:0.00144124
e e CC 0.999951 -
Tecnologia tecnologia NCFS000 1 06125041-n:0.00389825/00949619-n:0.00388907
, , Fc 1 -
Comunicação_e_Informática comunicação_e_informática NP00SP0 1 -
( ( Fpa 1 -
presidente presidente NCMS000 0.998938 10467395-n:0.00162718/10468962-n:0.0015319/10467179-n:0.00144706/10468750-n:0.0013437/10468559-n:0.00130931/10469346-n:0.00129856
) ) Fpt 1 -
; ; Fx 1 -
Desenvolvimento_Econômico desenvolvimento_econômico NP00SP0 1 -
, , Fc 1 -
Indústria_e_Comércio indústria_e_comércio NP00O00 1 -
( ( Fpa 1 -
suplente suplente AQ0CS00 0.624504 -
) ) Fpt 1 -
; ; Fx 1 -
Constituição constituição NCFS000 1 04933544-n:0.00245396/06533648-n:0.00241/00237078-n:0.00236721
e e CC 0.999951 -
Justiça justiça NP00V00 1 00694681-n:0.00227185/00694866-n:0.00141365/04850117-n:0.00130365/04839154-n:0.00120008/04826235-n:0.00115096/04850341-n:0.00113624/08135342-n:0.001024
e e CC 0.999951 -
de de SP 1 -
Cidadania cidadania NP00G00 1 08160276-n:0.00250253/13953467-n:0.002425/04898208-n:0.00233243
( ( Fpa 1 -
segundo-vice-presidente segundo-vice-presidente NCMS000 0.936364 -
) ) Fpt 1 -
e e CC 0.999951 -
Legislação_Participativa legislação_participativa NP00SP0 1 -
( ( Fpa 1 -
titular titular NCCS000 0.344173 -
) ) Fpt 1 -
. . Fp 1 -

As o DA0FP0 0.974798 -
comissões comissão NCFP000 1 08324514-n:0.0021392/08402442-n:0.00193378/00773235-n:0.00187261/13320860-n:0.00183456/06478988-n:0.0018139
especiais especial AQ0CP00 1 01104026-a:0.00205641/01853228-a:0.00200259/02278011-a:0.00196967/00488187-a:0.00193971/01678729-a:0.00193732
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
quais qual PR0CP00 0.802817 -
participou participar VMIS3S0 1 02450256-v:0.0101886
foram ir VMIS3P0 0.325 01835496-v:0.00117943/02051694-v:0.000660189/01955984-v:0.000620594/01995549-v:0.00060652/02072849-v:0.000592307/01904930-v:0.000579229/02009433-v:0.000560488/01935233-v:0.000538701/01957529-v:0.000537714/02102398-v:0.000521797/00341560-v:0.000511672/01882814-v:0.000483049/02058994-v:0.000482325/02685951-v:0.000481935/01846916-v:0.000476996/02102002-v:0.000476408/01849221-v:0.000472901/01841079-v:0.0004533/02686471-v:0.000439448/01839538-v:0.000429257/00343898-v:0.000422252
as o PP3FPA0 0.0109322 -
de de SP 1 -
Lotação_do_Servidor_Público lotação_do_servidor_público NP00SP0 1 -
( ( Fpa 1 -
titular titular AQ0CS00 0.655827 -
) ) Fpt 1 -
; ; Fx 1 -
Reforma_da reforma_da NP00SP0 1 -
Previdência previdência NCFS000 1 14494893-n:0.00980707
( ( Fpa 1 -
titular titular AQ0CS00 0.655827 -
) ) Fpt 1 -
; ; Fx 1 -
Reeleição_da_Mesa reeleição_da_mesa NP00SP0 1 -
( ( Fpa 1 -
suplente suplente AQ0CS00 0.624504 -
) ) Fpt 1 -
