<OUTPUT SRCFILE="11517.raw">
** ** Fz 1 -
distribuir distribuir VMN0000 0.529581 01379600-v:0.00388296/02201644-v:0.00378029
medicamentos medicamento NCMP000 1 03247620-n:0.00298814/03740161-n:0.00288568/04074482-n:0.00262061
durante durante SP 0.99651 -
sua seu DP3FSS 0.929764 -
campanha campanha NCFS000 1 07472929-n:0.00220352/00798245-n:0.00206062/09393605-n:0.00200563/00968155-n:0.00191867
em em SP 1 -
a o DA0FS0 1 -
cidade cidade NCFS000 1 08524735-n:0.00209244/08665504-n:0.00173542/08626283-n:0.00131447/08226699-n:0.00127353/08672738-n:0.0012468/08226335-n:0.00115781/08177958-n:0.00109681
de de SP 1 -
Beneditinos beneditinos NP00G00 1 -
( ( Fpa 1 -
PI pi NP00G00 1 13754008-n:0.00379163/06835740-n:0.00365957
) ) Fpt 1 -
em em SP 1 -
troca troca NCFS000 0.809524 01166258-n:0.0040704/01109687-n:0.00406819
de de SP 1 -
votos voto NCMP000 0.987805 -
. . Fp 1 -

Em em SP 1 -
março [??:??/3/??:??.??:??] W 1 -
de de SP 1 -
[ [ Fca 1 -
2004 2004 Z 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/2004 http://pt.wikipedia.org/wiki/2004 Z 1 -
" " Fe 1 -
2004 2004 Z 1 -
" " Fe 1 -
) ) Fpt 1 -
, , Fc 1 -
seu seu DP3MSS 0.957305 -
mandato mandato NCMS000 0.98913 06556481-n:0.0107645/06552984-n:0.0104471/01140658-n:0.010168/06530789-n:0.0098251
foi ir VMIS3S0 0.5 01835496-v:0.00478674/02051694-v:0.00279828/01955984-v:0.00258918/01995549-v:0.00252594/02072849-v:0.00250318/02009433-v:0.00234036/01904930-v:0.00231312/01935233-v:0.00227996/01957529-v:0.00223954/02102398-v:0.00219794/00341560-v:0.00216776/01882814-v:0.00204358/02058994-v:0.0020357/02685951-v:0.00202257/01846916-v:0.00201719/02102002-v:0.00201663/01849221-v:0.00199431/01841079-v:0.00191964/02686471-v:0.00186424/01839538-v:0.00181959/00343898-v:0.00179263
cassado cassar VMP00SM 1 -
por por SP 1 -
o o DA0MS0 1 -
Tribunal_Regional_Eleitoral_do_Piauí tribunal_regional_eleitoral_do_piauí NP00O00 1 -
. . Fp 1 -

Morais_Sousa morais_sousa NP00SP0 1 -
recorreu recorrer VMIS3S0 1 00959714-v:0.0355045
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Tribunal_Superior_Eleitoral tribunal_superior_eleitoral NP00O00 1 -
( ( Fpa 1 -
TSE tse NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
que que PR0CN00 0.584265 -
o o PP3MSA0 0.0183743 -
absolveu absolver VMIS3S0 1 00904046-v:0.0174543/00801626-v:0.0161021
. . Fp 1 -

Durante durante SP 0.99651 -
o o DA0MS0 0.950254 -
período período NCMS000 1 15113229-n:0.00316041/15248564-n:0.00190616/15247518-n:0.00185253/15254028-n:0.00174863/15144371-n:0.00173815/15290337-n:0.00166858/15248020-n:0.00164494/15122231-n:0.00162919/15248269-n:0.00157128/15236475-n:0.00156162/15249236-n:0.00151504/15224486-n:0.00150869/15120346-n:0.0014403/15134490-n:0.00140206
pré-eleitoral pré-eleitoral AQ0CS00 1 -
de de SP 1 -
2006 2006 Z 1 -
, , Fc 1 -
enfrentou enfrentar VMIS3S0 1 00812298-v:0.0220011
problemas problema NCMP000 1 05686955-n:0.0038707/05687338-n:0.00365134/06784003-n:0.0035139/14410605-n:0.00325371/14408086-n:0.0031631/07289014-n:0.00313845/05833022-n:0.00295593
de de SP 1 -
saúde saúde NCFS000 0.969804 14447525-n:0.00715934/14447908-n:0.00711522/13923779-n:0.00694651
que que PR0CN00 0.584265 -
o o PP3MSA0 0.0183743 -
tiraram tirar VMIS3P0 0.65 00173338-v:0.00356867/00179311-v:0.00115494/01351170-v:0.0011181/01854132-v:0.001042/02311387-v:0.00102911/01454810-v:0.000994747/00179060-v:0.000978956/00800750-v:0.000965122/01434278-v:0.000964189/00014742-v:0.000956441/01592456-v:0.000942946/02077656-v:0.000922168/01003249-v:0.00090366/01608706-v:0.000891457/02097800-v:0.000889588/01453256-v:0.000874297/01453109-v:0.000873248/00178102-v:0.000866166/00571596-v:0.00085604/00177714-v:0.000850774/00178898-v:0.000843272/01532434-v:0.000838798/02101789-v:0.0008164/01243148-v:0.000808873
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
disputa disputa NCFS000 0.396226 07181935-n:0.00404182/01170962-n:0.00392028/07183151-n:0.00339688/00959376-n:0.00322366/07184149-n:0.00321814/07242104-n:0.00310095/01170813-n:0.00291394
por por SP 1 -
a o DA0FS0 1 -
reeleição reeleição NCFS000 1 00181373-n:0.0206772
. . Fp 1 -

Permaneceu permanecer VMIS3S0 1 02731024-v:0.008792/00117985-v:0.00869567/02731242-v:0.007905/01857392-v:0.00745613/02639075-v:0.0074253/02727462-v:0.0069607
em em SP 1 -
a o DA0FS0 1 -
Câmara_dos_Deputados câmara_dos_deputados NP00O00 1 -
até até SP 0.764262 -
o o DA0MS0 0.950254 -
fim fim NCMS000 1 15266911-n:0.00908833/15143477-n:0.00877505/07291794-n:0.00776725/05981230-n:0.00752661/07291312-n:0.0072485/15267536-n:0.00694733
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mandato mandato NCMS000 0.98913 06556481-n:0.0107645/06552984-n:0.0104499/01140658-n:0.0101733/06530789-n:0.00982547
, , Fc 1 -
em em SP 1 -
janeiro_de_2007 [??:??/1/2007:??.??:??] W 1 -
. . Fp 1 -

A a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
longo longo NCMS000 0.630208 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
legislatura legislatura NCFS000 1 15291498-n:0.0159578
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00179926/02051694-v:0.00101914/01955984-v:0.000951986/01995549-v:0.000926935/02072849-v:0.000913684/01904930-v:0.000871606/02009433-v:0.000865131/01935233-v:0.000830958/01957529-v:0.000826412/02102398-v:0.000803579/00341560-v:0.000790157/01882814-v:0.000745073/02058994-v:0.000743201/02685951-v:0.000741735/01846916-v:0.00073562/02102002-v:0.000733962/01849221-v:0.000728217/01841079-v:0.000699522/02686471-v:0.00068146/01839538-v:0.000662469/00343898-v:0.000652242
membro membro NCMS000 1 10307234-n:0.00421372/05559908-n:0.00395666/05560244-n:0.00379592/13810615-n:0.00358376
titular titular AQ0CS00 0.655827 -
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
comissões comissão NCFP000 1 08324514-n:0.00330685/08402442-n:0.00299883/00773235-n:0.00289274/13320860-n:0.00282946/06478988-n:0.00280654
de de SP 1 -
Agricultura agricultura NP00V00 1 01104406-n:0.00493011/00453731-n:0.00481297/00918176-n:0.00473521
e e CC 0.999951 -
Política_Rural política_rural NP00V00 1 -
, , Fc 1 -
de de SP 1 -
Legislação_Participativa legislação_participativa NP00SP0 1 -
, , Fc 1 -
e e CC 0.999951 -
de de SP 1 -
Trabalho_,_Administração trabalho_,_administração NP00O00 1 -
e e CC 0.999951 -
Serviço_Público serviço_público NP00SP0 1 -
. . Fp 1 -

Como como RG 0.205121 00159040-r:0.0152732
suplente suplente AQ0CS00 0.624504 -
, , Fc 1 -
atuou atuar VMIS3S0 1 00010435-v:0.0162035
em em SP 1 -
as o DA0FP0 1 -
comissões comissão NCFP000 1 08324514-n:0.00328748/08402442-n:0.00299009/00773235-n:0.00289307/13320860-n:0.00284545/06478988-n:0.0028017
de de SP 1 -
Constituição_de_Justiça constituição_de_justiça NP00O00 1 -
e e CC 0.999951 -
de de SP 1 -
Cidadania cidadania NP00G00 1 08160276-n:0.0052213/13953467-n:0.00505824/04898208-n:0.00488013
, , Fc 1 -
de de SP 1 -
Turismo turismo NP00O00 1 00298161-n:0.0143361
e e CC 0.999951 -
Desporto desporto NCMS000 1 -
, , Fc 1 -
e e CC 0.999951 -
em em SP 1 -
as o DA0FP0 1 -
comissões comissão NCFP000 1 08324514-n:0.00328748/08402442-n:0.00299009/00773235-n:0.00289307/13320860-n:0.00284545/06478988-n:0.0028017
especiais especial AQ0CP00 1 01104026-a:0.00317718/01853228-a:0.00309504/02278011-a:0.00304403/01678729-a:0.0030039/00488187-a:0.0029973
de de SP 1 -
Terrenos_de_Marinha terrenos_de_marinha NP00O00 1 -
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Sudene sudene NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
sua seu DP3FSS 0.929764 -
longa longo AQ0FS00 0.667364 01439155-a:0.0115189
